league,source,home_team,away_team,over_1_5,over_2_5,over_3_5,home_over_1_5,away_over_1_5,xg,home_h2h,draw_h2h,away_h2h,score,g_h,g_a,total_goals,r_1_5,r_2_5,r_home_1_5,r_away_1_5,win
Bundesliga_2,fbxg,Karlsruher,Schalke 04,0.9990637607221086,0.9914275591118068,0.9617191723195984,0.9797432849433356,0.5768099188731564,10.5,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Bundesliga_2,fbxg,Hannover 96,Kaiserslautern,0.1733585327032243,0.0405054397448139,0.0072921665052112,0.0405054397448139,0.0,0.75,0.0,0.0,0.0,3–1,3,1,4,1.0,1.0,1.0,0.0,H
Bundesliga_2,fbxg,Darmstadt 98,Braunschweig,0.7625079770307027,0.478214273514522,0.2479482381701142,0.4561868841166703,0.0405054397448139,3.25,0.0,0.0,0.0,1–1,1,1,2,1.0,0.0,0.0,0.0,E
Bundesliga_2,fbxg,Ulm,Nürnberg,0.9191446360109744,0.7136372525388676,0.4452423637419632,0.3233235838169366,0.5768099188731564,5.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Bundesliga_2,fbxg,Köln,Magdeburg,0.9241980962602884,0.7404837601133487,0.4985932175198782,0.1911531694619418,0.6791528011378658,5.0,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Liga MX,fbxg,UNAM,UANL,0.5895750068805059,0.2561046999709171,0.0833841820331301,0.1911531694619418,0.0803013970713941,2.5,0.0,0.0,0.0,1–3,1,3,4,1.0,1.0,0.0,1.0,A
Liga MX,fbxg,Santos,Necaxa,0.3306095195547105,0.0935337243970038,0.0207065193485579,0.0143876779669707,0.0803013970713941,1.5,0.0,0.0,0.0,3–2,3,2,5,1.0,1.0,1.0,1.0,H
Liga MX,fbxg,Toluca,Tijuana,0.952957392393198,0.8345241608842365,0.6549234235885018,0.8200760133930431,0.0803013970713941,5.444444444444445,0.0,0.0,0.0,4–0,4,0,4,1.0,1.0,1.0,0.0,H
Liga MX,fbxg,Puebla,Querétaro,0.8749650746414284,0.6456499280354078,0.3978580765545514,0.6042243400954003,0.1046693673633011,4.25,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Liga MX,fbxg,FC Juárez,Mazatlán,0.7452273455163944,0.4981750745019886,0.2785730558225172,0.4981750745019886,0.0,2.6666666666666665,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Liga MX,fbxg,Atlas,Pachuca,0.6508141473961135,0.3832387814161235,0.185034806616131,0.3832387814161235,0.0,2.2222222222222223,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Liga MX,fbxg,UANL,Atlético,0.6121121285423798,0.3265835564971872,0.143214753066347,0.3233235838169366,0.0048176242030705,2.333333333333333,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Liga MX,fbxg,Necaxa,UNAM,0.8577711498640272,0.6255776457930999,0.385683818888496,0.6012372342314194,0.0610398303230904,4.0,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Liga MX,fbxg,América,Guadalajara,0.8552973664092464,0.5834416001766176,0.309292954360802,0.4561868841166703,0.2340044996032214,4.166666666666667,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Primeira Liga,fbxg,Nacional,Farense,0.2642411176571153,0.0803013970713941,0.0189881568761538,0.0803013970713941,0.0,1.0,0.0,0.0,0.0,2–0,2,0,2,1.0,0.0,1.0,0.0,H
Primeira Liga,fbxg,Rio Ave,Arouca,0.8008517265285442,0.5768099188731564,0.3527681112177687,0.5768099188731564,0.0,3.0,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
Primeira Liga,fbxg,Vitória,Famalicão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Primeira Liga,fbxg,Gil Vicente FC,Braga,0.593994150290162,0.3233235838169366,0.1428765395014529,0.0,0.3233235838169366,2.0,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Primeira Liga,fbxg,Benfica,Santa Clara,0.2642411176571153,0.0803013970713941,0.0189881568761538,0.0803013970713941,0.0,1.0,0.0,0.0,0.0,4–1,4,1,5,1.0,1.0,1.0,0.0,H
Primeira Liga,fbxg,Porto,Farense,0.7127025048163542,0.4561868841166703,0.2424238668669338,0.4561868841166703,0.0,2.5,0.0,0.0,0.0,2–1,2,1,3,1.0,1.0,1.0,0.0,H
Primeira Liga,fbxg,Estrela,Boavista,0.2642411176571153,0.0803013970713941,0.0189881568761538,0.0,0.0803013970713941,1.0,0.0,0.0,0.0,2–2,2,2,4,1.0,1.0,1.0,1.0,E
Primeira Liga,fbxg,Braga,Vitória,0.3306095195547105,0.0935337243970038,0.0207065193485579,0.0803013970713941,0.0143876779669707,1.5,0.0,0.0,0.0,0–2,0,2,2,1.0,0.0,0.0,1.0,A
Primeira Liga,fbxg,Arouca,Sporting CP,0.7666231170256378,0.5195839623604847,0.2970537697298021,0.0021614966897625,0.5185432952869835,3.0,0.0,0.0,0.0,0–3,0,3,3,1.0,1.0,0.0,1.0,A
Liga Argentina,fbxg,Huracán,Tigre,0.4185380281753923,0.1674595183972389,0.0537790368526678,0.1665022618773701,0.0011484812448621,1.6,0.0,0.0,0.0,0–2,0,2,2,1.0,0.0,0.0,1.0,A
Liga Argentina,fbxg,Platense,San Lorenzo,0.1505245968761211,0.0260167215791909,0.0035623081821624,0.0029700882716069,0.0231152877526329,0.8799999999999999,0.0,0.0,0.0,1–2,1,2,3,1.0,1.0,0.0,1.0,A
Liga Argentina,fbxg,Independiente,River Plate,0.297074298358062,0.0847321593203931,0.0193752557340864,0.0803013970713941,0.0048176242030705,1.3333333333333337,0.0,0.0,0.0,0–0,0,0,0,0.0,0.0,0.0,0.0,E
Liga Argentina,fbxg,Atlé Tucumán,Racing Club,0.5541042635320583,0.2374152022535417,0.0795689463945585,0.2052223854779936,0.0405054397448139,2.305555555555556,0.0,0.0,0.0,1–0,1,0,1,0.0,0.0,0.0,0.0,H
